GBACC,AGE,ISODATE
ACA33766,,2007/12/27
ACB11805,,2007/12/31
ACF75877,,2008
ACF10319,,2008
ACM51218,,2008
ACU80765,1,2008
ACD47222,,2008/01/02
ACD47221,,2008/01/03
AEO01691,,2008/01/03
ACB11797,,2008/01/04
ACF40067,,2008/01/06
ACU79970,27,2008/01/07
ACF40065,,2008/01/10
AEO01636,,2008/01/10
ACI26494,7,2008/01/10
ACD85610,,2008/01/11
ACF10317,,2008/01/12
ACF10315,,2008/01/13
ACB11803,,2008/01/14
AEO01642,,2008/01/14
ACD47219,,2008/01/15
ACF40110,,2008/01/15
ACB11760,,2008/01/15
ACI26362,8,2008/01/15
ACD47216,,2008/01/16
ACD47226,,2008/01/17
ACD47223,,2008/01/17
ACD85604,,2008/01/17
ACI26351,6,2008/01/17
ACD47228,,2008/01/18
ACD85612,,2008/01/21
ACD85606,,2008/01/22
ACD85620,,2008/01/22
ACD47227,,2008/01/22
ACF40088,,2008/01/22
ACI26483,6,2008/01/22
ACD85624,,2008/01/23
ACD85618,,2008/01/23
ACI26373,6,2008/01/23
ACI26340,9,2008/01/23
ACL12162,7,2008/01/23
ACF40077,,2008/01/24
ACF10325,,2008/01/24
ACD85602,,2008/01/25
ACD47229,,2008/01/25
ACI26505,9,2008/01/25
ACD85622,,2008/01/28
ACU80190,13,2008/01/28
ACU80201,19,2008/01/28
ACU80212,17,2008/01/28
ACD47218,,2008/01/29
ACD47233,,2008/01/30
ACD47231,,2008/01/31
ACD47224,,2008/01/31
ACD85616,,2008/01/31
ACU80223,5,2008/01/31
ACD85626,,2008/02/01
ACD85628,,2008/02/01
ACD85608,,2008/02/01
ACD47225,,2008/02/01
ACD47232,,2008/02/01
ACF40094,,2008/02/01
ACF40071,,2008/02/04
ACD47217,,2008/02/04
ACD85632,,2008/02/04
ACD47230,,2008/02/05
ACF40069,,2008/02/05
ACO36331,7,2008/02/05
ACD85614,,2008/02/06
ACU80003,11,2008/02/06
ACU80245,18,2008/02/06
ACD47220,,2008/02/07
ACF40073,,2008/02/07
ACU80256,20,2008/02/07
ACI26527,9,2008/02/08
ACF10323,,2008/02/11
ACI26516,10,2008/02/11
ACL12184,53,2008/02/11
ACO94672,61,2008/02/11
ACN32848,2,2008/02/12
ACN32859,2,2008/02/12
ACK76367,,2008/02/13
ACF10321,,2008/02/13
ACR61677,6,2008/02/13
ACU80102,2,2008/02/13
ACU80289,1,2008/02/13
ACO94683,11,2008/02/13
ACN76478,1,2008/02/14
ACQ65713,36,2008/02/14
ACN32892,13,2008/02/14
ACN32870,2,2008/02/14
ACN33112,9,2008/02/14
ACU80300,18,2008/02/14
ACU80311,12,2008/02/14
ACO94694,18,2008/02/14
ACN43003,6,2008/02/15
ACU80322,3,2008/02/15
ACD85630,,2008/02/16
ACJ73773,,2008/02/18
AEO01625,,2008/02/18
ACN32903,17,2008/02/18
ACQ65724,17,2008/02/18
ACN32925,4,2008/02/18
ACN32914,11,2008/02/18
ACN43014,1,2008/02/18
ACU80333,18,2008/02/18
ACO95281,14,2008/02/18
ACO95292,41,2008/02/18
ACK76366,,2008/02/19
ACJ73768,,2008/02/19
ACN76489,14,2008/02/19
ACL12195,3,2008/02/19
ACN32947,8,2008/02/19
ACN32936,23,2008/02/19
ACN43025,4,2008/02/19
ACN43036,9,2008/02/19
ACU80366,1,2008/02/19
ACU80377,3,2008/02/19
ACU80344,11,2008/02/19
ACU80355,16,2008/02/19
ACO95303,5,2008/02/19
ACF40075,,2008/02/20
ACD85634,,2008/02/20
ACL12173,8,2008/02/20
ACI26538,8,2008/02/20
ACU80388,6,2008/02/20
ACU80399,6,2008/02/20
ACU80787,78,2008/02/20
ACO94716,5,2008/02/20
ACN33156,11,2008/02/21
ACO36342,10,2008/02/21
ACN32958,4,2008/02/21
ACU80435,1,2008/02/21
ACU80113,1,2008/02/21
ACU80424,19,2008/02/21
ACO94727,6,2008/02/21
ACO94738,3,2008/02/21
ACO94749,7,2008/02/21
