ABD61529,117.52,25.03,142.54
ABD61777,117.52,25.03,142.54
ABD77829,120.21,26.21,146.42
ABD77862,118.75,27.1,145.85
ABD77895,122.82,25.68,148.5
ABD78115,118.67,25.76,144.43
ABD78126,116.1,25.76,141.86
ABD79123,118.35,25.76,144.11
ABD79134,119.12,25.76,144.88
ABD79189,118.3,25.76,144.06
ABD79211,118.35,25.76,144.11
ABD79233,118.17,25.76,143.93
ABD79244,118.14,25.76,143.9
ABD94822,121.4,26.09,147.48
ABD94833,118.67,25.76,144.43
ABD94844,120.66,26.21,146.86
ABD94855,120.7,26.21,146.9
ABD94866,121.21,26.21,147.42
ABD94877,122.93,26.21,149.13
ABD94888,118.92,25.76,144.68
ABD94899,118.35,25.76,144.11
ABD94921,121.29,26.21,147.49
ABE11911,119.25,25.76,145.01
ABE13471,123.19,26.21,149.39
ABE13555,122.75,26.21,148.96
ABE13595,118.66,27.33,145.99
ABE13606,119.25,25.76,145.01
ABE13617,118.78,27.33,146.11
ABE13639,118.95,27.33,146.28
ABE14052,118.75,27.33,146.08
ABE14063,118.78,27.33,146.11
ABE14464,118.78,27.33,146.11
ABE14840,118.71,27.33,146.04
ABE15578,118.78,27.33,146.11
ABE73114,119.41,24.51,143.92
ABF17954,117.8,27.29,145.09
ABF21273,120.75,25.88,146.63
ABF47858,119.81,27.17,146.98
ABG26769,120.76,26.21,146.96
ABG26846,119.9,27.33,147.23
ABG26879,118.6,26.96,145.56
ABG26890,118.75,26.96,145.71
ABG26901,120.17,27.11,147.27
ABG26912,119.43,27.33,146.76
ABG26934,117.57,27.29,144.85
ABG37131,121.18,25.68,146.86
ABG37153,118.91,27.45,146.35
ABG37175,119.84,27.33,147.17
ABG37186,118.71,27.33,146.04
ABG37197,119.86,28.24,148.1
ABG37208,119.42,25.05,144.47
ABG37219,121.79,23.81,145.59
ABG37230,120.47,27.25,147.72
ABG37252,118.71,26.96,145.67
ABG37263,119.3,27.33,146.63
ABG37274,118.27,26.96,145.23
ABG37285,118.69,26.96,145.65
ABG37296,119.3,27.33,146.63
ABG37329,118.71,26.96,145.67
ABG37340,119.66,26.96,146.62
ABG37351,119.05,27.17,146.22
ABG47851,118.78,27.33,146.11
ABG47862,119.75,25.76,145.51
ABG47884,118.71,26.96,145.67
ABG47939,119.54,27.17,146.72
ABG47950,120.74,27.17,147.91
ABG47961,119.67,27.47,147.14
ABG48005,119.86,27.17,147.03
ABG48038,119.86,27.17,147.03
ABG48291,119.78,24.19,143.97
ABG48313,119.01,24.05,143.06
ABG48324,118.62,25.74,144.36
ABG48346,120.86,27.47,148.34
ABG48368,120.26,27.47,147.74
ABG67135,123.66,26.21,149.87
ABG67157,120.18,26.96,147.15
ABG67201,118.75,26.96,145.71
ABG67212,121.28,27.17,148.45
ABG67234,119.16,27.17,146.33
ABG67667,118.55,27.33,145.88
ABG79974,118.71,26.96,145.67
ABG79996,119.77,26.96,146.73
ABG80062,119.3,27.33,146.63
ABG80073,118.57,24.05,142.63
ABG80084,117.57,27.29,144.85
ABG80095,119.86,27.17,147.03
ABG80117,120.01,27.17,147.18
ABG80128,120.35,27.17,147.53
ABG80139,119.85,27.17,147.02
ABG80150,118.33,27.29,145.62
ABG80161,118.33,27.17,145.5
ABG80359,118.97,24.05,143.03
ABG80370,121.26,28.39,149.65
ABG80381,120.26,27.47,147.74
ABG80414,120.26,27.47,147.74
ABG80436,123.53,27.08,150.61
ABG88289,122.82,26.21,149.03
ABG88355,118.1,26.96,145.07
ABG88399,119.5,27.33,146.83
ABG88421,119.86,27.17,147.03
ABG88432,119.85,27.17,147.03
ABG88454,118.81,27.48,146.28
ABG88465,119.86,27.17,147.03
ABG88520,119.86,27.17,147.03
ABG88531,121.19,25.2,146.4
ABG88729,118.95,24.05,143
ABG88762,119.01,24.05,143.07
ABG88773,120.14,27.47,147.61
ABG88784,120.26,27.47,147.74
ABG88817,123.67,27.08,150.75
ABI20903,119.19,26.96,146.16
ABI20914,119.86,27.17,147.03
ABI20947,119.86,27.17,147.03
ABI20958,118.4,27.8,146.2
ABI21244,121,27.47,148.47
ABI21288,120.27,27.47,147.74
ABI21299,119.88,27.47,147.36
ABI21321,120.26,27.47,147.74
ABI21332,118.73,27.47,146.21
ABI21354,120.26,27.47,147.74
ABI21365,120.26,27.47,147.74
ABI21376,120.94,27.47,148.42
ABI21398,120.26,27.47,147.74
ABI21420,119.82,24.05,143.87
ABI21486,120.26,27.47,147.74
ABI21508,116.36,25.02,141.38
ABI30854,121.42,28.55,149.96
ABI92291,123.27,26.21,149.47
ABI92324,118.71,27.17,145.89
ABJ09140,120.92,27.17,148.09
ABK40656,119.88,26.96,146.85
ABK40667,118.78,27.33,146.11
ABM67029,122.09,27.13,149.22
ABM67040,123.67,27.08,150.75
ABN51010,124.75,27.08,151.83
ABN51021,124.54,27.08,151.62
ABN51032,121.38,25.99,147.37
ABN51043,121.22,27.13,148.35
ABN51054,124.14,27.08,151.22
ABN51099,115.63,21.79,137.43
ABN51121,115.61,21.79,137.41
ABN51132,115.75,21.79,137.54
ABO20953,122.32,26.46,148.79
ABO20954,122.73,24.22,146.95
ABO32860,122.31,27.13,149.43
ABO32882,124.21,27.23,151.44
ABO32937,125.2,27.08,152.28
ABO33069,112.73,25.59,138.32
ABO38230,114.77,25.62,140.4
ABO38241,118.29,25.92,144.21
ABO38274,122.47,25.99,148.46
ABO38285,124.03,27.04,151.07
ABO44068,115.63,21.79,137.43
ABO52313,115.29,25.27,140.56
ABO52324,115.79,21.79,137.58
ABO52335,112.46,24.74,137.19
ABO52346,111.32,19.71,131.03
ABO52357,115.22,21.79,137.01
ABP49184,115.93,21.79,137.73
ABP49492,113.01,19.71,132.72
ABQ01366,112.22,19.71,131.93
ABR15797,115.63,21.79,137.43
