GBACC,AGE,ISODATE
AEX34023,,2007/10/25
AEX36124,,2007/11/30
AEX36135,,2007/12/04
AEX36520,,2007/12/05
AEX36146,,2007/12/06
AEX36157,,2007/12/07
AFJ75582,,2007/12/18
AFJ78221,,2007/12/18
AFJ75593,,2007/12/31
AEX36542,,2008/01/04
AFJ78232,,2008/01/07
AEX36564,,2008/01/28
AFJ75604,,2008/03/10
AFJ78243,,2008/03/10
AFJ78254,,2008/03/17
AFJ78265,,2008/03/19
AFJ75630,,2008/05/12
AFJ75641,,2008/05/12
AEX36553,,2008/06/09
AEX36575,,2008/09/23
AEX34364,,2008/11/11
AEX34375,,2008/11/21
AEX36531,,2008/11/26
AEX34386,,2008/12/03
AEX36586,,2008/12/10
AEX36597,,2008/12/10
AEX34397,,2008/12/18
AEX34407,,2008/12/22
ACS71648,,2009/03/27
AFP99553,,2009/05/01
AFP99554,,2009/05/02
AER08656,,2009/06/10
AFP99403,,2009/06/16
AFP99555,,2009/06/21
AFJ78287,,2009/06/24
AEK84944,,2009/06/30
AEY69098,,2009/06/30
AFH74477,,2009/06/30
AEK84945,,2009/07/04
AEY69109,,2009/07/04
AFH74488,,2009/07/04
AEK84946,,2009/07/06
AEK84947,,2009/07/06
AEY69120,,2009/07/06
AEY69131,,2009/07/06
AFH74499,,2009/07/06
AFH74510,,2009/07/06
AEK84948,,2009/07/07
AEY69142,,2009/07/07
AFH74521,,2009/07/07
AFP99404,,2009/07/08
AEK84950,,2009/07/09
AEY69164,,2009/07/09
AFH74543,,2009/07/09
AEK84949,,2009/07/10
AEK84953,,2009/07/10
AEK84954,,2009/07/10
AEK84955,,2009/07/10
AEY69153,,2009/07/10
AEY69197,,2009/07/10
AEY69208,,2009/07/10
AEY69219,,2009/07/10
AFH74532,,2009/07/10
AFH74576,,2009/07/10
AFH74587,,2009/07/10
AEK84951,,2009/07/12
AEK84952,,2009/07/12
AEY69175,,2009/07/12
AEY69186,,2009/07/12
AFH74554,,2009/07/12
AFH74565,,2009/07/12
AEK84957,,2009/07/14
AEK84958,,2009/07/14
AEK84959,,2009/07/14
AEY69258,,2009/07/14
AEY69269,,2009/07/14
AFH74609,,2009/07/14
AFH74620,,2009/07/14
AEK84960,,2009/07/15
AEY69280,,2009/07/15
AFH74631,,2009/07/15
AEK84956,,2009/07/17
AEY69230,,2009/07/17
AFH74598,,2009/07/17
AEK84961,,2009/07/18
AEY69291,,2009/07/18
AFH74642,,2009/07/18
AEK84965,,2009/07/20
AEK84967,,2009/07/20
AEK84968,,2009/07/20
AEY69796,,2009/07/20
AEY69818,,2009/07/20
AEY69829,,2009/07/20
AFH74686,,2009/07/20
AFH74708,,2009/07/20
AFH74719,,2009/07/20
AEK84969,,2009/07/21
AEK84970,,2009/07/21
AEK84962,,2009/07/21
AEK84963,,2009/07/21
AEY69302,,2009/07/21
AEY69313,,2009/07/21
AEY69840,,2009/07/21
AEY69851,,2009/07/21
AFH74653,,2009/07/21
AFH74664,,2009/07/21
AFH74730,,2009/07/21
AEK84971,,2009/07/22
AEK84972,,2009/07/22
AEK84966,,2009/07/22
AEY69807,,2009/07/22
AEY69862,,2009/07/22
AEY69873,,2009/07/22
AFH74697,,2009/07/22
AFH74741,,2009/07/22
AFH74752,,2009/07/22
AEK84975,,2009/07/23
AEK84976,,2009/07/23
AEK84977,,2009/07/23
AEY69906,,2009/07/23
AEY69917,,2009/07/23
AEY69928,,2009/07/23
AFH74785,,2009/07/23
AFH74796,,2009/07/23
AFH74807,,2009/07/23
AEK84973,,2009/07/24
AEK84981,,2009/07/24
AEK84964,,2009/07/24
AEY69785,,2009/07/24
AEY69884,,2009/07/24
AEY69972,,2009/07/24
AFH74675,,2009/07/24
AFH74763,,2009/07/24
AFH74851,,2009/07/24
AEK84974,,2009/07/27
AEK84978,,2009/07/27
AEK84979,,2009/07/27
AEY69895,,2009/07/27
AEY69939,,2009/07/27
AEY69950,,2009/07/27
AFH74774,,2009/07/27
AFH74818,,2009/07/27
AFH74829,,2009/07/27
AEK84982,,2009/07/28
AER08646,,2009/07/28
AEY69983,,2009/07/28
AFH74862,,2009/07/28
AEK84985,,2009/07/29
AEK84986,,2009/07/29
AEK84980,,2009/07/29
AEY69961,,2009/07/29
AEY70016,,2009/07/29
AEY70256,,2009/07/29
AFH74840,,2009/07/29
AFH74884,,2009/07/29
AFH74895,,2009/07/29
AEK84983,,2009/07/30
AEK84984,,2009/07/30
AEK84989,,2009/07/30
AEY69994,,2009/07/30
AEY70005,,2009/07/30
AEY70289,,2009/07/30
AFH74873,,2009/07/30
AFH74917,,2009/07/30
AEK84990,,2009/07/31
AEK84992,,2009/07/31
AEY70300,,2009/07/31
AEY70322,,2009/07/31
AFH74928,,2009/07/31
AFH74950,,2009/07/31
AEK84987,,2009/08/01
AEK84988,,2009/08/01
AEY70267,,2009/08/01
AEK84993,,2009/08/02
AEY70333,,2009/08/02
AFJ75662,,2009/08/02
AEK84994,,2009/08/03
AEK84995,,2009/08/03
AEK84991,,2009/08/03
AEY70311,,2009/08/03
AEY70344,,2009/08/03
AFH74939,,2009/08/03
AFH74961,,2009/08/03
AFH75388,,2009/08/03
AEY70278,,2009/08/05
AFH74906,,2009/08/05
AEK84996,,2009/08/06
AEY70365,,2009/08/06
AEK84997,,2009/08/07
AEY70376,,2009/08/07
AER08648,,2009/08/25
AER08650,,2009/08/28
AFP99405,,2009/09/18
AER08654,,2009/09/24
AER08652,,2009/09/28
AFP99406,,2009/10/20
AER08660,,2009/11/30
AER08662,,2009/12/09
AFP99407,,2010/01/13
AFP99408,,2010/04/21
AFP99556,,2010/04/27
AFP99409,,2010/05/12
AFP99557,,2010/05/15
AFP99411,,2010/06/06
AFP99558,,2010/06/21
AFP99410,,2010/06/21
AER08698,,2010/06/22
AER08700,,2010/06/22
AER08664,,2010/06/24
AER08666,,2010/06/24
AER08668,,2010/07/01
AFP99559,,2010/07/23
AFP99560,,2010/07/25
AER08670,,2010/07/28
AER08672,,2010/08/03
AER08674,,2010/08/24
AFP99561,,2010/08/31
AER08676,,2010/09/03
AER08678,,2010/09/20
AER08680,,2010/09/28
AER08682,,2010/10/12
AFP99412,,2010/10/20
AER08684,,2010/10/29
AER08686,,2010/11/12
AER08688,,2010/11/12
AER08690,,2010/12/08
AFP99413,,2010/12/08
AER08692,,2010/12/29
AFN19575,,2011/01/03
AFN19497,,2011/01/04
AFP99414,,2011/01/10
AFN19365,,2011/01/12
AFN19393,,2011/01/13
AFN19485,,2011/01/18
AFN19493,,2011/01/28
AFN19495,,2011/02/02
AFN19503,,2011/02/16
AFN19505,,2011/02/18
AFP99562,,2011/02/20
AFN19499,,2011/03/31
AFN19351,,2011/04/11
AFN19507,,2011/04/29
AFN19501,,2011/05/09
AFP99415,,2011/05/12
AFN19509,,2011/05/16
AFN19513,,2011/05/19
AFN19589,,2011/05/23
AFN19367,,2011/05/25
AFN19369,,2011/05/30
AFN19371,,2011/06/02
AFN19373,,2011/06/06
AFN19591,,2011/06/06
AFN19593,,2011/06/07
AFN19595,,2011/06/07
AFN19375,,2011/06/10
AFN19515,,2011/06/14
AFN19377,,2011/06/15
AFN19599,,2011/06/16
AFP99563,,2011/06/17
AFN19379,,2011/06/20
AFN19577,,2011/06/20
AFN19579,,2011/06/20
AFN19581,,2011/06/20
AFN19583,,2011/06/20
AFN19517,,2011/06/21
AFN19353,,2011/06/21
AFN19381,,2011/06/23
AFN19383,,2011/06/24
AFN19385,,2011/06/27
AFN19601,,2011/06/27
AFN19519,,2011/06/27
AFP99564,,2011/07/03
AFN19387,,2011/07/04
AFP99416,,2011/07/04
AFN19521,,2011/07/06
AFN19389,,2011/07/07
AFN19603,,2011/07/07
AFN19391,,2011/07/12
AFN19523,,2011/07/15
AFP99567,,2011/07/18
AFN19397,,2011/07/19
AFN19399,,2011/07/22
AFN19607,,2011/07/22
AFN19609,,2011/07/27
AFN19611,,2011/07/27
AFN19401,,2011/07/27
AFN19403,,2011/07/29
AFN19613,,2011/07/29
AFP99417,,2011/08/01
AFN19617,,2011/08/02
AFN19405,,2011/08/02
AFN19525,,2011/08/02
AFN19407,,2011/08/03
AFN19409,,2011/08/08
AFN19527,,2011/08/08
AFN19619,,2011/08/08
AFN19529,,2011/08/10
AFN19411,,2011/08/11
AFN19531,,2011/08/15
AFN19413,,2011/08/16
AFN19623,,2011/08/16
AFN19587,,2011/08/16
AFN19415,,2011/08/19
AFN19629,,2011/08/22
AFN19533,,2011/08/23
AFN19355,,2011/08/23
AFN19417,,2011/08/24
AFN19535,,2011/08/31
AFN19631,,2011/09/02
AFN19633,,2011/09/02
AFN19635,,2011/09/02
AFN19637,,2011/09/06
AFN19537,,2011/09/06
AFN19539,,2011/09/07
AFN19421,,2011/09/08
AFN19639,,2011/09/08
AFN19641,,2011/09/08
AFN19543,,2011/09/09
AFN19423,,2011/09/13
AFN19425,,2011/09/13
AFN19643,,2011/09/13
AFP99565,,2011/09/14
AFN19645,,2011/09/16
AFN19545,,2011/09/19
AFN19357,,2011/09/19
AFN19647,,2011/09/20
AFN19649,,2011/09/22
AFN19547,,2011/09/23
AFN19429,,2011/09/27
AFN19653,,2011/09/29
AFN19549,,2011/10/03
AFN19433,,2011/10/04
AFN19437,,2011/10/07
AFN19439,,2011/10/07
AFN19551,,2011/10/07
AFN19359,,2011/10/07
AFN19663,,2011/10/11
AFN19361,,2011/10/13
AFN19665,,2011/10/17
AFN19553,,2011/10/17
AFN19441,,2011/10/18
AFN19443,,2011/10/19
AFN19445,,2011/10/20
AFP99566,,2011/10/22
AFN19447,,2011/10/24
AFN19555,,2011/10/24
AFN19667,,2011/10/28
AFN19669,,2011/10/28
AFN19449,,2011/10/31
AFN19451,,2011/10/31
AFN19557,,2011/11/01
AFN19671,,2011/11/01
AFN19453,,2011/11/02
AFN19455,,2011/11/03
AFN19457,,2011/11/08
AFN19459,,2011/11/08
AFN19559,,2011/11/08
AFN19461,,2011/11/09
AFN19561,,2011/11/10
AFN19463,,2011/11/11
AFN19674,,2011/11/14
AFN19676,,2011/11/17
AFN19678,,2011/11/17
AFN19465,,2011/11/17
AFN19563,,2011/11/17
AFN19467,,2011/11/18
AFN19469,,2011/11/23
AFN19565,,2011/11/23
AFN19471,,2011/11/25
AFN19473,,2011/11/29
AFN19682,,2011/11/30
AFN19684,,2011/11/30
AFN19475,,2011/12/01
AFN19477,,2011/12/02
AFN19479,,2011/12/05
AFN19567,,2011/12/05
AFN19686,,2011/12/05
AFN19363,,2011/12/07
AFN19481,,2011/12/08
AFN19483,,2011/12/09
AFN19688,,2011/12/09
AFN19690,,2011/12/13
AFN19692,,2011/12/13
AFN19694,,2011/12/13
AFN19487,,2011/12/14
AFN19569,,2011/12/22
AFN19571,,2011/12/27
AFN19700,,2011/12/28
AFN19702,,2011/12/30
AFN19491,,2011/12/30
AFN19573,,2011/12/30
